TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenDecimals,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x2d1f1790775c49691ffc093cffa077fbc92a96674ecca5390c8bf9308442f14b,39048203,2026-04-26 01:07:37.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,5000,1906031436120000,ok,
0x696ad39135888d6226d380149fc11b7cd3fecadc528e03829127e50bb71a11b1,39048206,2026-04-26 01:07:39.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,5000,1905871435160000,ok,
0xa37760bd9f05a8144b848c80e5391bf377cfb58d5d102f6d0693878e79f5e058,39048217,2026-04-26 01:07:44.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906271437560000,ok,
0x412d053102043c86bf55fb018218a1d50573bb635e5d2be5f9f3bb840e01b64d,39048219,2026-04-26 01:07:45.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0x10606fa0de1fc50e58e0091fa82398657ffc77138aafc2ee4d21de054262a240,39048222,2026-04-26 01:07:47.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905631433720000,ok,
0x3d8aab21e2039fa8a8582610d548f7dc52adfa04eef082eca593196d131444b7,39048226,2026-04-26 01:07:49.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,1000,1906031436120000,ok,
0x93ae9010d94e02ec3ad2665f40fc4bf366e99c58e983c092ee6e0fe73c871d97,39048230,2026-04-26 01:07:51.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905631433720000,ok,
0xd23c2d3abd4ef491b3a117d69692be27f6e3c67c020a86fdc5ca9c6d5d8b76bb,39048233,2026-04-26 01:07:52.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0xfb862f74bb91717f4260c7cbc08192dd2027c126dd45647e8a9cf6b80a348d67,39048238,2026-04-26 01:07:55.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906271437560000,ok,
0x1314c1c7e0c1fb4d2e57585aa7382a466c1d00f9197d0e292b32d776ad9cbeef,39048241,2026-04-26 01:07:57.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0xe2b7ab8b6fb7405cdc3edaab39d4a5a789a205f25c85ff0e35f2c766f7759bbc,39048244,2026-04-26 01:07:58.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905631433720000,ok,
0xb2c5969966e1834da8269b627fb3a10889fcc8e0c83799863e13afc431b918d9,39048248,2026-04-26 01:08:00.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905871435160000,ok,
0xdc4953098481bcddc88606f65f677b67f3c146416336d3f98f54dca0613821e3,39048250,2026-04-26 01:08:01.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906031436120000,ok,
0xa7b08c771f2adc5e882743095705790c95ce700e33e94b006b2642a4a1d4fee8,39048253,2026-04-26 01:08:03.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,7000,1906031436120000,ok,
